effect,category,hazard_sys_norm,type,n_clinset1,n_clinset2,n_clinsetnon
stomach hemorrhage,NA,gastrointestinal,nonclinical,NA,NA,14
stomach inflammation,NA,gastrointestinal,nonclinical,NA,NA,70
stomach mineralization,NA,gastrointestinal,nonclinical,NA,NA,6
stomach mucosa hyperplasia,NA,gastrointestinal,nonclinical,NA,NA,21
stomach non-glandular epithelium hyperkeratosis,NA,gastrointestinal,nonclinical,NA,NA,9
stomach pain,incidental,gastrointestinal,clinical,1,NA,NA
stomach pain or irritation,incidental,gastrointestinal,clinical,1,NA,NA
stomach weight increase,NA,gastrointestinal,nonclinical,NA,NA,7
stomatitis,incidental,gastrointestinal,clinical,5,2,NA
stomatitis (b),incidental,gastrointestinal,clinical,NA,NA,NA
stomatitis (c),incidental,gastrointestinal,clinical,NA,NA,NA
stomatitis ‡,incidental,gastrointestinal,clinical,NA,1,NA
"stomatitis, ulceration",incidental,gastrointestinal,clinical,NA,NA,NA
stomatitis a,incidental,gastrointestinal,clinical,NA,2,NA
stooped posture,incidental,nervous,clinical,1,NA,NA
storage in hepatocytes,NA,hepatic,nonclinical,NA,NA,17
strabismus,NA,ocular,nonclinical,NA,NA,4
straub tail,NA,no category,nonclinical,NA,NA,2
stress,NA,nervous,clinical,NA,NA,NA
stroke,NA,cardiovascular,clinical,NA,2,NA
stupor,NA,no category,clinical,NA,NA,NA
subcutaneous abscess,NA,no category,nonclinical,NA,NA,2
submissive behavior,NA,nervous,nonclinical,NA,NA,15
substance in cage,NA,no category,nonclinical,NA,NA,5
"sudden unexpected death,somnolence",NA,no category,clinical,1,NA,NA
suicidal thinking or behavior,NA,nervous,clinical,NA,1,NA
sunken,NA,no category,nonclinical,NA,NA,2
superficial phlebitis,NA,no category,clinical,NA,NA,NA
supraventricular tachyarrhythmia,NA,cardiovascular,clinical,1,NA,NA
sweating,NA,dermal,clinical,4,NA,NA
sweating increased,NA,dermal,clinical,1,1,NA
swelling of arm,NA,no category,nonclinical,NA,NA,1
swelling of face & neck,NA,no category,nonclinical,NA,NA,9
swelling of limb,NA,no category,nonclinical,NA,NA,6
swelling of mandibular gingiva,NA,no category,nonclinical,NA,NA,1
swollen,NA,no category,nonclinical,NA,NA,7
swollen lip,NA,no category,nonclinical,NA,NA,2
syncope,NA,cardiovascular,clinical,1,1,NA
t lymphocytopenia,NA,immune,nonclinical,NA,NA,1
t wave morphology changes,NA,cardiovascular,clinical,1,NA,NA
tachycardia,NA,cardiovascular,clinical,7,1,NA
tachycardia (a),NA,cardiovascular,clinical,NA,NA,NA
tachypnea,NA,no category,nonclinical,NA,NA,4
tail necrosis,NA,no category,nonclinical,NA,NA,6
tail open abrasion,NA,no category,nonclinical,NA,NA,2
tail wound,NA,no category,nonclinical,NA,NA,4
taste alteration,incidental,nervous,clinical,1,NA,NA
taste bud,NA,no category,nonclinical,NA,NA,1
taste changes,incidental,nervous,clinical,1,NA,NA
taste perversion,incidental,nervous,clinical,1,2,NA
telangiectasia,NA,no category,nonclinical,NA,NA,2
tension headache,incidental,nervous,clinical,NA,1,NA
teratogenesis,NA,no category,clinical,1,NA,NA
testes discoloration,NA,reproductive,nonclinical,NA,NA,8
testicular atrophy,NA,reproductive,nonclinical,NA,NA,56
testicular fibrosis,NA,reproductive,nonclinical,NA,NA,1
testicular hyperplasia,NA,reproductive,nonclinical,NA,NA,7
testicular mass,NA,reproductive,nonclinical,NA,NA,1
testis degeneration,NA,reproductive,nonclinical,NA,NA,21
testis hypoplasia,NA,reproductive,nonclinical,NA,NA,1
therapeutic response unexpected,NA,no category,clinical,NA,NA,NA
thick lip,NA,no category,nonclinical,NA,NA,1
thick skin,NA,dermal,nonclinical,NA,NA,1
thick ventricular wall,NA,cardiovascular,nonclinical,NA,NA,1
thickened skin,NA,dermal,nonclinical,NA,NA,1
thickened vaginal epithelium,NA,reproductive,nonclinical,NA,NA,1
thickening of glomerular capillary wall,NA,renal,nonclinical,NA,NA,3
thin body,NA,metabolic,nonclinical,NA,NA,43
thin hair shaft,NA,dermal,nonclinical,NA,NA,10
thin urinary bladder urothelium,NA,renal,nonclinical,NA,NA,1
thinking abnormal,NA,nervous,clinical,1,NA,NA
thinking abnormalities,NA,nervous,clinical,NA,NA,NA
thirst,incidental,no category,clinical,2,1,NA
thoracic cavity fluid,NA,no category,nonclinical,NA,NA,3
throat/neck symptoms,NA,no category,clinical,NA,NA,NA
thrombocytopenia,NA,hematologic,clinical,12,6,98
thrombocytopenia,NA,hematologic,nonclinical,12,6,98
thrombocytosis,NA,hematologic,clinical,1,NA,119
thrombocytosis,NA,hematologic,nonclinical,1,NA,119
thromboembolic events,NA,cardiovascular,clinical,1,NA,NA
thrombosis,NA,hematologic,nonclinical,NA,NA,2
thrombotic thrombocytopenia purpura,NA,hematologic,clinical,1,NA,NA
thymitis,NA,immune,nonclinical,NA,NA,1
thymus,NA,immune,nonclinical,NA,NA,1
thymus atrophy,NA,immune,nonclinical,NA,NA,81
thymus discoloration,NA,immune,nonclinical,NA,NA,9
thymus fibrosis,NA,immune,nonclinical,NA,NA,1
thymus hemorrhage,NA,immune,nonclinical,NA,NA,18
thymus mass,NA,immune,nonclinical,NA,NA,1
thymus weight to body weight ratio,NA,immune,nonclinical,NA,NA,11
thymus; necrosis,NA,immune,nonclinical,NA,NA,17
thyroid follicular adenoma,NA,endocrine,nonclinical,NA,NA,3
thyroid function decreased,NA,endocrine,nonclinical,NA,NA,1
thyroid gland cyst,NA,endocrine,nonclinical,NA,NA,3
thyroid gland hyperplasia,NA,endocrine,nonclinical,NA,NA,60
thyroid gland inflammation,NA,endocrine,nonclinical,NA,NA,1
thyroid hormone change,NA,endocrine,clinical,1,NA,NA
tinnitus,NA,otic,clinical,NA,NA,NA
tip-toe gait,NA,no category,nonclinical,NA,NA,3
tongue edema,incidental,no category,clinical,NA,NA,3
tongue edema,NA,no category,nonclinical,NA,NA,3
tooth disorder,NA,dermal,clinical,NA,NA,NA
tooth erosion,NA,dermal,nonclinical,NA,NA,9
tooth loss,NA,dermal,nonclinical,NA,NA,2
tooth pain,incidental,no category,clinical,NA,NA,NA
toothache,incidental,no category,clinical,NA,NA,NA
torsade de pointes,NA,no category,clinical,NA,NA,NA
total calcium,NA,metabolic,clinical,1,NA,NA
total cholesterol,NA,metabolic,clinical,1,NA,NA
total cholesterol >240,NA,metabolic,clinical,NA,NA,NA
total cholesterol increase,NA,metabolic,clinical,1,NA,NA
total herpes,incidental,no category,clinical,2,NA,NA
total percentage of subjects with adverse reactions,NA,no category,clinical,NA,3,NA
total protein,NA,hematologic,clinical,1,NA,NA
trachea inflammation,NA,respiratory,nonclinical,NA,NA,8
trauma,incidental,no category,clinical,1,NA,NA
tremble or twitch,NA,nervous,nonclinical,NA,NA,4
tremor,NA,nervous,clinical,9,12,NA
tremors,NA,nervous,nonclinical,NA,NA,47
triglyceride,NA,metabolic,clinical,1,NA,NA
triglyceride elevation,NA,metabolic,clinical,1,NA,NA
triglyceride increase,NA,metabolic,clinical,1,NA,NA
triglycerides >16.9 mmol/l,NA,metabolic,clinical,NA,1,NA
triglycerides >16.9 mmol/l (high),NA,metabolic,clinical,NA,NA,NA
triglycerides increase,NA,metabolic,clinical,1,NA,NA
triglycerides increased,NA,metabolic,clinical,NA,2,NA
triglycerides�fasting >16.9 mmol/l,NA,metabolic,clinical,NA,NA,NA
triglycerides fasting >16.9 mmol/l (high),NA,metabolic,clinical,NA,NA,NA
trouble concentrating,NA,nervous,clinical,1,NA,NA
tsh increase,NA,endocrine,clinical,1,NA,NA
tubular,NA,no category,nonclinical,NA,NA,2
tubular; nephrosis,NA,renal,nonclinical,NA,NA,4
twitching,incidental,nervous,clinical,1,NA,NA
ulcer of gallbladder,NA,no category,nonclinical,NA,NA,2
ulcer of penis,NA,reproductive,nonclinical,NA,NA,3
ulcer or gastritis,NA,gastrointestinal,clinical,1,NA,NA
ulceration,NA,no category,nonclinical,NA,NA,7
uncoordinated movements,NA,nervous,nonclinical,NA,NA,5
undifferentiated (embryonal) sarcoma,NA,no category,nonclinical,NA,NA,1
unpleasant taste,incidental,nervous,clinical,1,2,NA
upper respiratory infection,incidental,respiratory,clinical,3,1,NA
upper respiratory tract disorder,incidental,respiratory,clinical,NA,NA,NA
upper respiratory tract infection,incidental,respiratory,clinical,6,6,NA
upper respiratory tract infection (b),incidental,respiratory,clinical,NA,NA,NA
"upper respiratory tract infection,",incidental,respiratory,clinical,1,NA,NA
upper respiratory tract infections-pathogen class unspecified,incidental,respiratory,clinical,NA,NA,NA
upper respiratory tract signs and symptoms,NA,respiratory,clinical,NA,NA,NA
urea,NA,renal,nonclinical,NA,NA,1
uremia,NA,renal,nonclinical,NA,NA,36
ureter urothelium hyperplasia,NA,renal,nonclinical,NA,NA,3
uri,NA,metabolic,clinical,1,NA,NA
uric acid,NA,metabolic,clinical,1,NA,NA
uric acid >0.7 mmol/l,NA,metabolic,clinical,NA,1,NA
uric acid >0.7 mmol/l (high),NA,metabolic,clinical,NA,NA,NA
uric acid increase,NA,metabolic,clinical,1,NA,NA
uricosuria,NA,renal,clinical,1,NA,NA
urinary bladder inflammation,NA,renal,nonclinical,NA,NA,14
urinary hesitation,NA,renal,clinical,NA,NA,NA
urinary retention,NA,renal,clinical,NA,NA,2
urinary retention,NA,renal,nonclinical,NA,NA,2
urinary tract infection,incidental,renal,clinical,4,4,NA
urinary tract infection ¶¶,incidental,renal,clinical,NA,NA,NA
urinary tract infection nos,incidental,renal,clinical,NA,1,NA
urinary tract infectionc,incidental,renal,clinical,NA,NA,NA
urinary tract infections (d),incidental,renal,clinical,NA,NA,NA
urinary tract signs and symptoms,NA,renal,clinical,NA,NA,NA
urine abnormal,NA,renal,clinical,NA,NA,NA
urine bilirubin increased,NA,hepatic,nonclinical,NA,NA,5
urine discoloration,NA,renal,nonclinical,NA,NA,15
urine microscopy leukocytes present finding,NA,renal,nonclinical,NA,NA,5
urine occult blood,NA,renal,nonclinical,NA,NA,11
urine protein detection (lab test),NA,renal,nonclinical,NA,NA,1
urine rbc increased,NA,renal,nonclinical,NA,NA,8
urine specific gravity high,NA,renal,nonclinical,NA,NA,43
urine specific gravity measurement,NA,renal,nonclinical,NA,NA,1
urogenital abnormalities,NA,renal,nonclinical,NA,NA,5
urolithiasis,NA,renal,nonclinical,NA,NA,3
urticaria,NA,dermal,clinical,1,NA,NA
uterine cancer adenocarcinoma metastatic,NA,reproductive,nonclinical,NA,NA,1
uterine cervix inflammation,NA,reproductive,nonclinical,NA,NA,1
uterine dilation and evacuation,NA,reproductive,nonclinical,NA,NA,1
uterine hemorrhage,NA,reproductive,nonclinical,NA,NA,1
uterus,NA,reproductive,nonclinical,NA,NA,1
uterus atrophy,NA,reproductive,nonclinical,NA,NA,35
uterus discoloration,NA,reproductive,nonclinical,NA,NA,3
uterus hyperplasia,NA,reproductive,nonclinical,NA,NA,4
uterus hypoplasia,NA,reproductive,nonclinical,NA,NA,2
uterus inflammation,NA,reproductive,nonclinical,NA,NA,10
uterus; distension,NA,reproductive,nonclinical,NA,NA,8
uti,incidental,renal,clinical,3,NA,NA
uveitis,NA,ocular,nonclinical,NA,NA,1
vacuolated,NA,no category,nonclinical,NA,NA,133
vacuolated lens,NA,ocular,nonclinical,NA,NA,4
"vacuolation, acinar cell",NA,endocrine,nonclinical,NA,NA,1
"vacuolation, cortical, increased, diffuse",NA,no category,nonclinical,NA,NA,15
"vacuolation, epithelial",NA,no category,nonclinical,NA,NA,8
"vacuolation, interstitial cell",NA,no category,nonclinical,NA,NA,2
"vacuolation, islet cell",NA,endocrine,nonclinical,NA,NA,4
vagina atrophy,NA,reproductive,nonclinical,NA,NA,12
vagina cysts,NA,reproductive,nonclinical,NA,NA,2
vaginal discharge,NA,reproductive,clinical,1,1,NA
vaginal discharges,NA,reproductive,clinical,NA,1,NA
vascular anomaly,NA,cardiovascular,nonclinical,NA,NA,1
vascular disorders,NA,cardiovascular,clinical,NA,1,NA
vascular disorders hot flushes,NA,cardiovascular,clinical,NA,NA,NA
vascular hypertensive disorders,NA,cardiovascular,clinical,NA,NA,NA
vasodilation,NA,cardiovascular,clinical,4,NA,1
vasodilation,NA,cardiovascular,nonclinical,4,NA,1
ventricular fibrillation,NA,cardiovascular,clinical,NA,NA,NA
ventricular septal defect,NA,cardiovascular,nonclinical,NA,NA,1
ventricular thrombosis (old),NA,cardiovascular,nonclinical,NA,NA,1
vertigo,incidental,otic,clinical,1,8,NA
vessel puncture site reaction,incidental,no category,clinical,2,NA,NA
violent behavior,NA,nervous,nonclinical,NA,NA,1
viral infection,incidental,no category,clinical,NA,1,NA
visceral epithelial cell hyperplasia,NA,no category,nonclinical,NA,NA,5
vision abnormal,NA,ocular,clinical,NA,4,NA
vision abnormalities,NA,ocular,clinical,NA,NA,NA
"vision abnormality,",NA,ocular,clinical,1,NA,NA
vision blurred,NA,ocular,clinical,NA,9,NA
visual disturbance,NA,ocular,clinical,2,NA,NA
visual disturbances,NA,ocular,clinical,1,NA,NA
vitreous body hemorrhage,NA,no category,nonclinical,NA,NA,3
vocalization (finding),NA,nervous,nonclinical,NA,NA,3
vomiting,NA,gastrointestinal,clinical,33,28,2
vomiting (a),NA,gastrointestinal,clinical,NA,NA,NA
vomitting,NA,gastrointestinal,clinical,2,NA,NA
water consumption,NA,no category,nonclinical,NA,NA,2
wbc,NA,hematologic,clinical,1,NA,NA
wbc >25x10 9 /l,NA,hematologic,clinical,NA,NA,NA
wbc decreased,NA,hematologic,clinical,NA,1,NA
weakness,NA,nervous,nonclinical,NA,NA,23
weight change,NA,metabolic,clinical,1,NA,NA
weight decrease,NA,metabolic,clinical,18,12,NA
weight increase,NA,metabolic,clinical,19,11,NA
white blood cell count decreased,NA,hematologic,nonclinical,NA,NA,90
white blood cell count increased (lab result),NA,hematologic,nonclinical,NA,NA,118
white blood cell measurement,NA,hematologic,nonclinical,NA,NA,2
white spots in retina,NA,ocular,nonclinical,NA,NA,1
worsening of diabetes mellitus,NA,metabolic,clinical,NA,NA,NA
xerophthalmia,NA,no category,clinical,NA,NA,NA
yawning,incidental,respiratory,clinical,2,1,NA
yellow coat color,NA,dermal,nonclinical,NA,NA,22
yellow-orange colored skin,NA,dermal,nonclinical,NA,NA,9
